Date,NDVI,Precipitation (mm),Temperature (Â°C)
2022-01-01,0.48727005942368123,118.41049763255539,25.934205586865595
2022-01-31,0.7753571532049581,167.77639420895204,18.69708911051054
2022-03-02,0.6659969709057025,79.95106732375396,34.39169255529117
2022-04-01,0.5993292420985183,127.13516576204174,30.50265646722229
2022-05-01,0.37800932022121825,138.86218532930639,33.78997883128378
2022-05-31,0.3779972601681013,56.96756190799966,32.89654700855297
2022-06-30,0.3290418060840997,141.13172778521576,26.957999576221702
2022-07-30,0.7330880728874676,75.57861855309373,33.437484700462335
2022-08-29,0.6005575058716044,59.75773894779193,16.76985004103839
2022-09-28,0.6540362888980227,192.33283058799998,18.919657248382904
2022-10-28,0.3102922471479012,194.8448049611839,15.90454577821076
2022-11-27,0.7849549260809972,171.25960221746917,21.506606615265287
2022-12-27,0.7162213204002108,95.6920653760056,22.77354579378964
2023-01-26,0.40616955533913807,64.65081710095758,20.426980635477918
2023-02-25,0.3909124836035503,152.63495397682354,31.57475018303859
2023-03-27,0.3917022549267169,116.0228740609402,22.135066533871786
2023-04-26,0.45212112147976885,68.30573522671682,20.618690193747614
2023-05-26,0.5623782158161189,124.27653651669053,25.853921663164968
2023-06-25,0.5159725093210579,55.15827816728276,17.818484499495252
2023-07-25,0.44561457009902095,186.39806031181732,31.043939615080795
2023-08-24,0.6059264473611897,88.81699724000254,16.491012873595416
2023-09-23,0.3697469303260209,149.3783426530973,34.73773873201034
2023-10-23,0.44607232426760907,96.75666141341165,30.444895385933147
2023-11-22,0.48318092164684584,128.0102031766716,18.974313630683447
